twolev_1,twolev_2,twolev_3,twolev_4,twolev_5,twolev_6,twolev_7,twolev_8,twolev_9,twolev_10,twolev_11,twolev_12,twolev_13,twolev_14,twolev_15,twolev_16,twolev_17,twolev_18,twolev_19,twolev_20,threelev_1,threelev_2,threelev_3,threelev_4,threelev_5,threelev_6,threelev_7,threelev_8,threelev_9,threelev_10,threelev_11,threelev_12,threelev_13,threelev_14,threelev_15,threelev_16,threelev_17,threelev_18,threelev_19,threelev_20,fourlev_1,fourlev_2,fourlev_3,fourlev_4,fourlev_5,fourlev_6,fourlev_7,fourlev_8,fourlev_9,fourlev_10,fourlev_11,fourlev_12,fourlev_13,fourlev_14,fourlev_15,fourlev_16,fourlev_17,fourlev_18,fourlev_19,fourlev_20,fivelev_1,fivelev_2,fivelev_3,fivelev_4,fivelev_5,fivelev_6,fivelev_7,fivelev_8,fivelev_9,fivelev_10,fivelev_11,fivelev_12,fivelev_13,fivelev_14,fivelev_15,fivelev_16,fivelev_17,fivelev_18,fivelev_19,fivelev_20,sixlev_1,sixlev_2,sixlev_3,sixlev_4,sixlev_5,sixlev_6,sixlev_7,sixlev_8,sixlev_9,sixlev_10,sixlev_11,sixlev_12,sixlev_13,sixlev_14,sixlev_15,sixlev_16,sixlev_17,sixlev_18,sixlev_19,sixlev_20,sevenlev_1,sevenlev_2,sevenlev_3,sevenlev_4,sevenlev_5,sevenlev_6,sevenlev_7,sevenlev_8,sevenlev_9,sevenlev_10,sevenlev_11,sevenlev_12,sevenlev_13,sevenlev_14,sevenlev_15,sevenlev_16,sevenlev_17,sevenlev_18,sevenlev_19,sevenlev_20,eightlev_1,eightlev_2,eightlev_3,eightlev_4,eightlev_5,eightlev_6,eightlev_7,eightlev_8,eightlev_9,eightlev_10,eightlev_11,eightlev_12,eightlev_13,eightlev_14,eightlev_15,eightlev_16,eightlev_17,eightlev_18,eightlev_19,eightlev_20,ninelev_1,ninelev_2,ninelev_3,ninelev_4,ninelev_5,ninelev_6,ninelev_7,ninelev_8,ninelev_9,ninelev_10,ninelev_11,ninelev_12,ninelev_13,ninelev_14,ninelev_15,ninelev_16,ninelev_17,ninelev_18,ninelev_19,ninelev_20,tenlev_1,tenlev_2,tenlev_3,tenlev_4,tenlev_5,tenlev_6,tenlev_7,tenlev_8,tenlev_9,tenlev_10,tenlev_11,tenlev_12,tenlev_13,tenlev_14,tenlev_15,tenlev_16,tenlev_17,tenlev_18,tenlev_19,tenlev_20,elevenlev_1,elevenlev_2,elevenlev_3,elevenlev_4,elevenlev_5,elevenlev_6,elevenlev_7,elevenlev_8,elevenlev_9,elevenlev_10,elevenlev_11,elevenlev_12,elevenlev_13,elevenlev_14,elevenlev_15,elevenlev_16,elevenlev_17,elevenlev_18,elevenlev_19,elevenlev_20,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,cont15,cont16,cont17,cont18,cont19,cont20,cont21,cont22,cont23,cont24,cont25,cont26,cont27,cont28,cont29,cont30,cont31,cont32,cont33,cont34,cont35,cont36,cont37,cont38,cont39,cont40,cont41,cont42,cont43,cont44,cont45,cont46,cont47,cont48,cont49,cont50,cont51,cont52,cont53,cont54,cont55,cont56,cont57,cont58,cont59,cont60,cont61,cont62,cont63,cont64,cont65,cont66,cont67,cont68,cont69,cont70,cont71,cont72,cont73,cont74,cont75,cont76,cont77,cont78,cont79,cont80,cont81,cont82,cont83,cont84,cont85,cont86,cont87,cont88,cont89,cont90,cont91,cont92,cont93,cont94,cont95,cont96,cont97,cont98,cont99,cont100,totalTargets,numMines,numNonMines,numUndetected,numDetected,numClassified,numMILCOS,numNOMBOS,numNotClassified,numFalseNeg,numFalsePos,completionTime
2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,3,3,3,1,1,1,2,1,2,2,4,3,1,3,1,1,3,2,2,4,1,1,2,2,2,3,2,1,2,3,2,1,2,2,2,5,2,2,2,2,5,1,1,3,2,3,2,5,2,2,6,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,5,2,2,2,2,2,1,2,1,4,4,4,4,7,1,2,6,2,7,2,2,4,2,2,3,1,3,1,5,1,1,8,2,7,5,2,2,2,1,2,5,3,3,4,4,7,6,2,5,2,7,4,5,7,5,8,4,4,7,1,7,5,4,7,7,7,8,7,7,7,3,7,2,7,7,7,8,7,8,7,8,7,1,5,8,8,6,6,4,6,7,8,4,5,5,2,6,8,4,2,7,8,5,38,483,88,483,410,29,451,108,275,337,382,6,285,287,459,172,327,2,251,391,277,54,384,500,156,11,471,73,230,79,239,41,253,211,177,487,199,26,68,348,301,113,229,375,110,81,279,374,147,454,90,94,68,107,294,145,315,449,266,253,459,393,39,253,36,41,151,70,224,81,512,199,374,131,435,295,22,268,306,114,350,257,23,241,292,468,230,94,282,23,232,408,18,325,169,69,75,139,21,169,512,56.0,456,0,512.0,512.0,56.0,456.0,0.0,0.0,0.0,65156.05528349585
1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,3,2,2,2,3,3,1,1,2,1,1,1,1,2,2,3,4,2,2,2,2,2,2,1,2,2,1,2,2,1,3,2,1,2,2,2,2,3,5,1,5,5,5,2,3,1,1,3,1,3,1,3,5,1,2,4,2,2,5,2,2,2,4,2,5,4,2,6,5,2,2,2,4,2,2,6,2,3,3,2,3,4,5,3,3,1,7,6,1,3,3,6,5,2,1,3,8,1,2,2,1,4,2,3,4,2,6,2,2,2,2,2,5,2,6,3,2,3,8,3,2,8,1,3,3,3,3,3,3,8,8,3,9,3,8,9,4,8,8,8,4,4,4,2,4,4,2,4,4,2,2,4,8,2,8,3,8,3,3,8,3,8,8,3,3,8,8,8,3,8,8,8,3,3,3,8,253,185,430,90,185,115,273,82,383,166,214,399,116,105,458,451,234,405,155,175,451,292,247,308,202,383,399,232,369,180,124,330,234,166,147,446,369,17,383,382,399,244,292,59,7,308,54,116,291,466,405,166,440,353,124,54,321,19,451,446,186,496,350,357,282,43,373,28,458,11,480,224,331,234,202,64,232,428,342,214,80,247,328,504,39,220,56,399,308,116,480,263,64,346,80,3,308,369,446,80,1420,1204.0,216,0,1420.0,1420.0,1204.0,216.0,0.0,0.0,0.0,1251528.6392202894
1,2,1,1,1,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,3,2,3,2,1,2,1,1,1,1,1,2,4,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,3,1,3,5,2,2,1,3,5,1,1,4,1,3,5,4,2,1,5,4,2,2,3,1,2,2,6,2,4,2,2,2,4,4,4,2,5,2,2,1,2,3,2,2,1,2,2,3,4,2,6,2,2,5,2,3,1,2,5,4,7,1,5,5,5,3,6,5,5,5,5,5,5,3,5,5,5,4,2,1,5,2,8,8,3,2,4,1,3,8,3,8,3,3,8,3,3,3,3,3,2,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,2,6,1,8,2,8,2,8,2,11,2,11,8,8,4,2,2,8,3,8,2,5,185,447,22,123,38,351,182,242,465,338,288,292,141,56,500,293,236,399,98,273,403,122,473,18,95,255,464,337,292,101,180,406,12,390,71,445,158,146,234,376,290,198,13,467,229,159,79,416,222,13,242,115,161,464,39,12,142,14,190,229,238,288,393,447,178,317,270,164,426,362,34,22,194,132,379,445,485,414,207,478,400,313,37,218,241,360,91,63,47,13,214,376,113,498,190,159,200,231,51,111,436,137.0,299,0,436.0,436.0,137.0,299.0,0.0,0.0,0.0,132661.25935995867
1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,3,1,2,1,1,2,3,1,2,2,1,2,3,3,1,2,1,3,4,1,4,1,2,2,1,2,1,1,4,4,2,2,2,1,1,4,2,1,1,3,2,3,1,5,1,1,3,1,4,2,2,2,2,3,1,2,1,1,4,4,1,2,4,2,5,4,1,4,2,1,2,1,4,3,1,4,4,4,2,6,4,2,5,2,7,6,2,4,2,1,2,6,4,4,2,2,8,2,4,4,4,4,4,2,4,4,1,4,2,1,4,6,4,8,7,6,1,8,8,4,8,4,4,8,3,4,3,3,4,3,3,4,5,2,4,2,1,2,8,8,2,2,2,10,2,8,2,8,8,8,8,8,8,8,2,1,11,4,8,8,8,8,4,8,4,8,4,8,1,4,4,8,2,8,4,4,230,18,489,406,355,123,185,190,223,122,412,433,153,394,288,78,17,35,151,365,394,369,277,512,15,49,148,424,343,229,371,148,207,440,170,123,358,61,193,118,461,353,143,507,293,130,73,155,244,18,325,358,422,208,499,276,473,277,194,443,187,183,62,143,105,117,347,61,226,357,452,440,461,397,457,50,257,365,41,130,172,323,489,453,502,181,36,146,325,34,77,102,78,257,109,123,330,371,152,490,1733,410.0,1323,0,1733.0,1733.0,410.0,1323.0,0.0,0.0,0.0,194424.42064086438
2,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,4,2,3,3,2,2,2,2,2,1,2,2,2,1,2,3,2,4,2,1,5,1,2,1,2,4,2,4,4,1,2,1,2,1,4,2,2,3,2,2,1,4,6,2,2,4,2,2,7,7,1,1,7,3,3,2,1,4,3,1,3,3,3,5,2,3,1,1,6,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,8,3,3,3,3,5,3,3,3,3,3,8,3,3,3,8,3,9,1,3,8,3,8,4,8,4,8,8,5,8,8,4,4,8,4,4,8,8,4,8,6,9,4,8,4,4,8,4,2,8,2,6,4,11,4,8,4,10,8,4,4,407,504,90,64,148,236,338,486,235,37,113,361,140,29,270,485,182,104,435,192,37,270,165,424,193,111,26,170,273,451,44,212,298,368,18,135,243,497,72,123,197,436,74,440,436,495,133,23,381,190,236,235,360,85,512,98,107,25,244,97,480,75,108,133,278,198,454,98,18,132,505,79,317,129,158,97,474,369,99,470,35,183,54,55,164,499,224,35,362,164,125,339,504,242,36,151,65,308,142,170,842,383.0,459,0,842.0,842.0,383.0,459.0,0.0,0.0,0.0,158453.7071281102
2,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,3,1,1,2,1,2,2,2,1,1,1,3,2,1,1,2,4,2,2,2,2,2,2,1,4,1,1,3,2,2,4,4,1,2,1,5,1,2,3,2,1,2,1,1,1,1,1,1,1,4,1,5,2,2,6,5,6,2,2,5,1,1,5,4,2,2,1,2,4,2,4,1,6,2,4,3,3,7,3,3,3,3,3,7,3,7,1,7,7,4,3,4,7,7,6,2,2,8,8,7,8,2,4,2,1,2,4,6,2,8,7,7,2,2,5,8,3,4,8,8,3,3,8,2,8,4,3,8,8,3,1,9,4,9,1,8,9,8,8,2,8,5,8,8,2,1,8,8,2,2,2,2,8,9,2,3,3,8,3,3,8,3,3,10,2,8,8,3,3,3,11,3,8,3,512,154,463,494,269,167,198,232,92,117,38,333,429,204,26,19,326,128,230,49,46,306,96,246,1,128,41,118,184,143,211,143,41,429,93,69,176,168,95,406,328,205,334,178,232,3,45,138,67,102,128,95,356,40,75,1,398,144,230,300,478,150,12,40,441,19,237,141,222,210,178,100,66,127,400,58,53,342,467,74,191,99,95,251,145,236,181,116,69,327,35,191,74,95,1,119,441,298,67,21,236,180.0,56,1,235.0,235.0,180.0,55.0,0.0,0.0,0.0,65068.02946896427
2,2,1,2,1,1,2,2,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2,1,3,1,2,1,1,1,2,2,2,2,3,2,3,2,2,1,1,4,4,2,2,2,2,2,2,1,1,1,2,3,4,2,1,1,3,5,2,1,1,1,1,5,2,1,1,1,1,1,1,3,2,3,4,1,3,3,1,1,1,3,3,3,3,3,1,1,2,1,3,3,6,1,3,7,4,7,1,4,7,4,4,4,6,6,4,1,7,4,1,4,2,7,4,6,5,8,7,5,5,5,7,2,5,2,8,2,1,5,5,5,7,4,2,4,8,8,3,1,8,2,8,3,1,3,9,3,3,8,3,5,8,3,1,4,3,3,8,8,7,3,3,8,3,8,5,3,3,10,3,8,8,3,6,6,2,2,6,11,8,2,2,2,1,11,2,8,11,2,2,7,11,11,2,454,225,69,32,331,379,351,169,16,164,469,193,494,16,372,206,344,131,62,1,260,313,24,23,448,68,195,50,313,157,205,180,452,185,228,222,396,52,367,191,352,194,1,493,194,227,367,140,331,440,240,123,326,386,50,418,329,464,157,228,500,411,433,234,289,295,76,234,495,425,217,482,305,222,68,379,366,408,293,501,262,282,180,457,320,56,49,232,326,130,51,422,475,288,246,61,163,274,321,61,1030,866.0,164,0,1030.0,1030.0,866.0,164.0,0.0,0.0,0.0,582956.705929887
2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,2,1,1,2,2,3,2,1,1,2,1,2,1,2,1,4,2,3,2,1,2,2,2,2,4,1,1,4,2,2,1,2,2,2,3,5,1,1,1,4,1,3,1,2,1,1,4,5,5,1,1,4,2,3,1,4,1,1,4,4,1,2,1,1,4,1,4,5,3,4,1,4,6,2,1,1,7,2,1,1,2,2,3,2,2,2,2,1,1,2,4,3,7,3,1,1,4,1,4,6,5,2,5,1,4,3,2,5,3,4,4,3,2,8,5,7,2,1,5,7,2,8,1,8,8,8,2,2,2,2,5,2,5,8,7,1,3,8,8,3,8,8,2,3,8,8,8,8,3,8,3,8,8,3,5,7,1,4,11,4,11,11,8,4,2,8,4,10,4,4,4,3,11,4,4,242,493,148,106,161,201,368,499,184,200,35,134,288,174,99,363,134,323,66,158,267,467,362,154,37,3,154,76,159,510,2,145,39,259,134,139,105,35,53,329,72,21,485,14,82,222,231,284,53,142,511,201,471,498,101,383,200,154,107,214,210,506,154,267,491,200,369,62,349,146,192,27,1,298,213,456,17,245,35,78,462,101,159,356,390,80,450,367,35,408,117,499,134,146,310,211,431,53,206,178,1036,556.0,480,0,1036.0,1036.0,556.0,480.0,0.0,0.0,0.0,230705.60955110722
1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,3,3,1,2,1,1,1,1,2,1,2,3,1,2,3,1,2,2,4,2,2,4,1,4,2,1,2,4,2,4,1,1,4,1,1,1,2,2,4,5,3,4,1,2,1,3,1,2,5,3,1,1,2,4,3,1,1,1,6,1,1,4,1,1,2,6,3,4,1,4,1,6,1,1,4,2,4,4,3,2,7,2,2,2,6,2,5,7,5,4,2,1,6,5,6,5,3,2,2,8,7,2,2,1,2,5,8,1,2,4,3,5,2,7,2,4,6,2,2,3,3,8,8,3,3,3,3,9,3,3,3,8,8,3,6,6,3,1,5,3,3,3,1,3,3,2,3,3,3,1,3,6,3,3,3,3,3,10,5,4,4,4,4,2,4,3,4,3,4,4,11,4,4,4,6,10,4,4,68,116,469,431,491,376,359,23,129,75,504,242,405,93,252,318,301,75,210,242,406,224,183,250,451,504,276,14,137,226,476,443,361,137,66,15,451,276,23,424,246,183,201,210,144,93,176,371,110,508,371,49,293,91,95,78,106,378,171,476,509,118,16,242,269,318,188,154,49,71,5,331,111,287,8,169,482,322,144,115,110,169,249,167,341,254,477,176,276,169,261,154,498,297,266,464,364,250,35,323,966,94.0,872,0,966.0,966.0,94.0,872.0,0.0,0.0,0.0,11517.683442756468
2,1,2,2,1,1,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,2,2,1,1,2,1,2,2,3,2,1,2,1,1,3,2,2,4,2,2,2,1,1,1,2,4,2,2,4,4,2,1,4,4,1,1,1,4,2,1,4,1,1,2,2,1,1,5,4,1,1,4,2,2,1,6,6,3,6,2,2,2,3,6,5,6,1,6,2,1,3,2,1,4,4,2,7,5,7,4,2,2,1,5,2,7,7,6,4,3,3,2,3,8,1,2,4,8,6,2,3,7,5,3,2,1,3,3,8,3,5,5,4,8,8,8,3,9,2,8,8,4,8,5,4,8,8,4,6,1,9,2,1,4,4,4,4,4,4,9,10,4,4,1,4,4,4,4,4,4,8,10,3,2,8,8,8,4,2,8,8,2,2,8,1,8,8,8,9,8,8,2,222,111,490,463,216,285,39,350,52,230,446,50,39,322,104,268,268,8,221,314,314,447,302,275,136,52,485,368,394,309,88,82,446,267,34,151,190,268,338,102,164,120,316,508,225,67,505,346,164,28,261,140,33,406,231,497,459,134,505,200,105,154,467,509,388,273,143,467,110,202,322,388,170,149,122,362,145,93,503,479,255,485,338,36,188,505,313,50,94,46,380,338,380,9,509,350,94,36,474,100,1549,1279.0,270,56,1493.0,1493.0,1235.0,258.0,0.0,0.0,0.0,488495.52509040944
